id,department,region,gender,education_level,years_experience,age,is_manager,work_hours_per_week,performance_rating,salary,monthly_sales
26,Finance,North,Female,Bachelors,13.5,33,0,42.8,4,91605.0,5033.0
27,Sales,West,Male,Bachelors,10.2,29,0,34.3,3,39239.0,24728.0
28,Tech,East,Male,Masters,11.6,33,0,41.8,3,85300.0,2606.0
29,Tech,West,Female,High School,9.4,39,0,40.9,4,79358.0,8905.0
30,Sales,South,Female,Bachelors,2.0,25,0,43.6,3,49771.0,23522.0
31,HR,North,Female,Masters,4.4,33,0,41.5,2,54772.0,10241.0
32,Sales,South,Male,Masters,8.5,27,0,36.6,3,46184.0,32539.0
33,Sales,East,Male,Bachelors,1.6,40,0,46.4,4,41368.0,23570.0
34,Operations,South,Female,Bachelors,9.4,22,0,40.3,3,54912.0,4464.0
35,Operations,South,Male,High School,5.5,28,0,40.9,2,65208.0,5898.0
36,Finance,East,Female,Bachelors,5.0,34,0,36.8,4,68213.0,0.0
37,Tech,West,Female,Bachelors,9.3,42,0,39.0,3,103974.0,3721.0
38,Sales,South,Male,Bachelors,8.3,32,0,37.0,3,51475.0,19863.0
39,HR,West,Female,Bachelors,5.1,28,0,40.2,2,49161.0,3904.0
40,Tech,South,Female,Bachelors,11.1,44,0,48.7,3,65155.0,7109.0
41,Sales,West,Male,High School,2.2,23,0,34.8,4,30215.0,18710.0
42,Tech,East,Female,Bachelors,9.0,21,0,33.7,3,61790.0,10984.0
43,Sales,South,Male,Bachelors,8.9,35,1,47.6,3,69817.0,21501.0
44,Operations,East,Female,Bachelors,5.3,29,0,40.1,4,60430.0,6963.0
45,Sales,South,Male,High School,7.8,25,0,38.0,4,38710.0,20688.0
46,HR,East,Female,Masters,1.5,37,0,45.7,4,56065.0,7621.0
47,Tech,East,Male,Bachelors,10.2,34,0,38.3,3,76443.0,9800.0
48,Tech,South,Male,Masters,5.8,28,1,49.2,3,93722.0,3031.0
49,Tech,South,Female,Masters,4.4,24,0,44.1,5,94627.0,4868.0
50,Sales,South,Male,Bachelors,10.7,38,1,38.8,4,77015.0,20785.0
51,Operations,North,Male,High School,3.7,36,0,50.7,1,52292.0,117.0
52,Finance,West,Female,Bachelors,0.9,31,1,38.3,2,69168.0,2723.0
53,Operations,North,Female,Bachelors,0.3,44,0,44.3,3,33145.0,4595.0
54,Operations,North,Male,Masters,8.9,25,0,42.3,5,54927.0,10998.0
55,Tech,East,Female,Bachelors,1.4,22,0,46.9,3,69146.0,7550.0
56,Operations,South,Male,High School,13.5,28,0,48.0,3,58303.0,7274.0
57,Sales,West,Male,Bachelors,0.0,32,0,41.1,2,40950.0,24404.0
58,Sales,East,Male,Bachelors,13.3,34,0,37.6,4,58575.0,21451.0
59,Sales,North,Female,Bachelors,7.3,30,0,43.1,4,48961.0,23562.0
60,Tech,South,Female,Bachelors,6.1,34,0,38.0,3,69520.0,6087.0
61,Tech,East,Female,Bachelors,4.3,24,0,50.1,4,77184.0,8061.0
62,Sales,South,Female,PhD,8.1,41,0,41.6,5,55256.0,20169.0
63,Finance,East,Male,Bachelors,6.3,31,0,39.4,3,58656.0,0.0
64,Tech,South,Male,Bachelors,10.9,39,0,41.8,3,100011.0,5963.0
65,Sales,North,Male,High School,7.0,34,0,34.9,3,49611.0,27191.0
66,Tech,West,Male,Bachelors,7.1,35,0,36.6,4,78746.0,10705.0
67,Sales,North,Male,Bachelors,5.0,36,0,46.4,3,53666.0,25362.0
68,Finance,West,Female,Bachelors,6.3,35,0,38.0,3,71892.0,11445.0
69,Sales,South,Male,Bachelors,7.7,36,0,36.3,4,58865.0,22355.0
70,Operations,East,Male,Bachelors,0.0,41,0,43.4,3,52297.0,7289.0
71,Finance,North,Male,Bachelors,1.1,33,0,46.3,5,57196.0,5029.0
72,Sales,West,Female,Masters,9.5,37,0,44.2,3,56292.0,20236.0
73,Sales,North,Female,High School,7.2,31,0,45.5,2,41490.0,23463.0
74,Finance,West,Male,Bachelors,5.8,41,0,37.6,4,70046.0,11816.0
75,Finance,North,Male,Bachelors,6.6,28,1,34.6,4,84588.0,6442.0
76,Finance,West,Female,PhD,7.9,44,0,47.8,3,69399.0,4699.0
77,Finance,West,Male,High School,4.3,32,0,39.5,4,197625.0,7002.0
78,Sales,South,Female,Bachelors,3.4,23,0,39.9,5,31025.0,24905.0
79,Tech,West,Female,PhD,7.3,33,0,47.0,3,72175.0,725.0
80,Sales,South,Male,Masters,2.6,28,0,43.5,5,45863.0,13315.0
81,Operations,West,Male,Masters,8.1,37,1,43.1,2,75999.0,3798.0
82,HR,East,Female,Bachelors,0.0,28,0,50.7,3,40806.0,1617.0
83,Tech,East,Male,Bachelors,10.6,29,0,38.1,2,97908.0,3967.0
84,Sales,East,Male,Masters,8.4,21,1,45.2,4,60151.0,21409.0
85,Tech,West,Female,Masters,7.5,29,0,41.3,4,90633.0,5187.0
86,Tech,South,Female,Bachelors,10.4,21,0,42.2,2,87606.0,11810.0
87,Finance,South,Female,Bachelors,13.2,22,0,47.9,3,71378.0,7807.0
88,HR,West,Female,Bachelors,10.6,37,0,43.3,3,73147.0,7702.0
89,Operations,East,Male,Masters,0.0,37,0,43.4,2,40451.0,8489.0
90,Tech,East,Male,Bachelors,1.4,35,1,45.8,4,97710.0,2445.0
91,Sales,South,Female,Bachelors,4.0,26,0,39.4,4,54805.0,104624.0
92,Finance,East,Male,Bachelors,6.6,32,0,37.2,3,63214.0,6197.0
93,Finance,North,Male,Bachelors,8.6,32,0,36.3,5,86245.0,10182.0
94,Tech,South,Female,Bachelors,3.6,24,0,32.2,3,213957.0,2213.0
95,Finance,East,Male,High School,7.2,42,0,50.3,5,73527.0,1285.0
96,Tech,South,Male,Bachelors,3.5,38,0,36.0,4,77324.0,10272.0
97,Tech,North,Male,Bachelors,4.1,31,0,40.0,3,73308.0,8006.0
98,Tech,South,Male,Bachelors,0.9,32,0,39.8,2,80810.0,2392.0
99,Sales,South,Male,Bachelors,2.8,33,0,42.4,4,51708.0,18521.0
100,Sales,South,Male,Bachelors,1.1,21,0,44.7,3,29332.0,26002.0
101,Sales,South,Male,Bachelors,2.6,30,0,44.9,2,55555.0,16242.0
102,HR,North,Female,High School,10.7,28,0,38.4,1,49203.0,12071.0
103,Tech,West,Female,Bachelors,2.7,25,0,40.2,3,85631.0,2898.0
104,Tech,South,Male,High School,17.0,30,0,42.3,3,103920.0,9054.0
105,Operations,South,Female,High School,8.5,44,0,39.9,4,51472.0,5686.0
106,Sales,East,Male,PhD,7.2,36,0,48.2,4,47353.0,24413.0
107,Tech,South,Male,Bachelors,3.1,28,0,43.2,2,60452.0,3824.0
108,Finance,East,Female,Masters,9.3,36,0,44.3,4,71011.0,6349.0
109,Sales,West,Male,Bachelors,4.2,41,0,44.0,2,44576.0,21164.0
110,Sales,North,Female,Masters,7.0,38,0,46.3,4,56637.0,17991.0
111,Sales,North,Male,Masters,16.7,32,0,41.8,4,72522.0,24963.0
112,Sales,West,Female,Bachelors,6.1,28,0,35.2,3,60485.0,19447.0
113,Operations,North,Male,Bachelors,11.1,37,0,42.8,4,58823.0,6086.0
114,Finance,West,Female,Bachelors,3.7,35,0,38.1,3,64348.0,2523.0
115,HR,West,Male,Bachelors,6.4,38,1,38.6,3,58896.0,0.0
116,Operations,West,Female,Masters,13.6,36,0,43.6,4,59873.0,6236.0
117,Finance,North,Male,Masters,4.0,39,0,46.6,3,76449.0,16150.0
118,Sales,East,Male,PhD,13.7,29,0,41.1,3,71365.0,24638.0
119,Operations,West,Female,High School,9.3,41,0,42.4,3,51285.0,6423.0
120,Tech,South,Male,Masters,4.3,33,0,48.7,4,68050.0,5948.0
121,Finance,North,Female,Masters,9.0,45,0,42.1,3,72536.0,6590.0
122,Operations,West,Female,Bachelors,10.4,28,1,52.7,2,79721.0,8188.0
123,Tech,West,Male,High School,9.0,43,0,43.5,4,71085.0,2277.0
124,Sales,South,Female,Masters,0.2,33,0,33.1,4,45632.0,26457.0
125,Sales,East,Male,Bachelors,3.6,28,0,44.4,2,42529.0,23862.0
126,Tech,East,Female,Masters,5.5,29,0,42.7,3,76427.0,9373.0
127,Finance,East,Male,High School,6.2,30,0,46.8,2,74903.0,7754.0
128,Operations,West,Male,Masters,9.0,35,0,44.0,3,60851.0,6578.0
129,Sales,West,Female,Bachelors,7.2,35,0,40.4,3,47149.0,24191.0
130,Tech,West,Female,Bachelors,1.2,28,1,35.5,4,85125.0,9367.0
131,Tech,North,Male,Bachelors,8.0,32,0,40.1,4,78540.0,5584.0
132,Sales,South,Female,Masters,8.9,46,0,37.2,3,49720.0,19206.0
133,Sales,West,Male,Masters,8.7,43,0,38.4,3,50370.0,21907.0
134,Tech,South,Male,Bachelors,10.8,35,0,43.6,4,102144.0,13196.0
135,Operations,South,Male,Bachelors,9.8,32,0,48.5,3,66247.0,1544.0
136,Tech,East,Male,Masters,8.3,33,0,42.8,5,76414.0,1630.0
137,Tech,North,Male,Bachelors,6.2,36,0,35.6,3,85803.0,7159.0
138,Finance,West,Male,Masters,0.0,25,0,43.0,2,58662.0,6204.0
139,Tech,East,Female,Bachelors,8.2,30,0,46.4,4,93917.0,7693.0
140,Operations,East,Female,Bachelors,7.3,21,0,38.3,3,61717.0,7476.0
141,Operations,West,Female,Bachelors,7.6,35,1,40.4,4,73262.0,6107.0
142,Sales,South,Male,Bachelors,1.4,36,0,41.1,2,47262.0,26959.0
143,Tech,East,Male,Masters,2.2,29,0,37.5,2,53789.0,0.0
144,Tech,South,Female,Bachelors,10.7,42,0,43.9,4,69319.0,3686.0
145,Sales,North,Female,Bachelors,6.3,24,0,40.5,3,40009.0,21087.0
146,Sales,South,Male,Masters,9.2,22,0,42.9,4,54184.0,15427.0
147,HR,North,Female,Bachelors,6.6,33,1,37.0,3,83048.0,5797.0
148,Tech,South,Female,Bachelors,6.6,39,0,39.0,3,104696.0,13146.0
149,Sales,East,Female,Masters,10.3,43,0,44.3,4,59464.0,22084.0
150,Sales,East,Female,Bachelors,4.4,29,0,39.3,3,51287.0,22423.0
151,Operations,North,Female,High School,6.9,39,0,48.8,3,131616.0,1459.0
152,Sales,West,Male,Masters,4.7,32,0,39.2,3,43299.0,19035.0
153,Sales,North,Female,Bachelors,4.8,31,0,42.0,1,41458.0,18999.0
154,Tech,North,Female,Bachelors,5.3,38,1,45.2,3,83910.0,5229.0
155,Operations,South,Male,High School,7.4,36,0,34.6,4,57535.0,12127.0
156,Sales,South,Male,Masters,4.6,22,0,33.1,5,43743.0,24731.0
157,HR,North,Male,Bachelors,11.5,42,0,34.1,4,47945.0,2554.0
158,Finance,East,Female,Bachelors,2.9,41,0,46.7,4,72959.0,7986.0
159,Sales,South,Female,Masters,5.8,28,0,38.5,4,40378.0,23993.0
160,Finance,West,Male,Masters,4.7,35,0,52.5,4,70032.0,11561.0
161,Tech,South,Male,Bachelors,12.3,35,0,38.5,3,109649.0,12822.0
162,HR,South,Male,Bachelors,7.3,34,0,41.8,5,50324.0,3440.0
163,HR,West,Female,Bachelors,10.6,28,0,47.9,4,43008.0,3757.0
164,Tech,North,Female,Masters,0.6,28,0,50.0,3,67288.0,1470.0
165,Sales,West,Female,High School,7.6,32,1,50.3,2,74928.0,20064.0
166,Finance,North,Male,Bachelors,10.1,40,0,46.4,3,93703.0,8365.0
167,Tech,North,Male,Masters,6.8,36,0,45.6,3,63405.0,10449.0
168,Sales,North,Male,Masters,10.8,30,0,43.7,4,58934.0,21696.0
169,Sales,West,Male,Bachelors,4.4,37,1,44.5,3,58558.0,20221.0
170,Tech,North,Female,Masters,12.1,21,1,38.5,3,98249.0,7107.0
171,HR,East,Female,High School,15.7,39,0,37.3,5,85350.0,4159.0
172,Sales,West,Female,Masters,5.0,21,0,41.0,2,35976.0,29358.0
173,Tech,East,Female,High School,4.7,30,0,40.2,3,78685.0,69.0
174,Sales,North,Male,Bachelors,12.3,25,0,39.0,1,60502.0,21239.0
175,HR,South,Female,Masters,12.8,24,0,44.1,4,70961.0,15094.0
176,Sales,North,Female,High School,4.4,40,0,45.3,5,48064.0,22527.0
177,HR,East,Female,Bachelors,4.8,29,0,41.4,3,55916.0,5740.0
178,Tech,East,Male,Masters,5.4,34,0,47.6,4,71780.0,5570.0
179,Operations,West,Male,Masters,1.1,32,0,35.9,3,53473.0,5778.0
180,Sales,South,Male,Bachelors,2.8,35,0,40.1,5,42614.0,27991.0
181,Tech,West,Female,Masters,2.5,32,0,37.8,4,80459.0,0.0
182,Sales,East,Female,Bachelors,3.4,24,0,32.6,4,43123.0,28134.0
183,Operations,North,Male,Bachelors,6.4,38,0,40.6,1,60697.0,0.0
184,Operations,South,Female,Bachelors,7.4,29,0,40.5,5,58646.0,6433.0
185,Sales,North,Female,Bachelors,12.7,22,0,47.8,4,66248.0,20283.0
186,HR,North,Male,Masters,2.5,29,1,43.8,3,65640.0,8854.0
187,Finance,South,Male,Bachelors,10.4,42,0,36.4,4,56750.0,608.0
188,Tech,West,Female,Bachelors,5.6,38,0,49.3,3,91863.0,8349.0
189,Tech,North,Male,Bachelors,6.3,30,0,46.5,4,66691.0,15097.0
190,Sales,East,Female,Masters,9.2,30,0,43.6,2,47810.0,15547.0
191,Sales,North,Male,Bachelors,2.0,30,0,40.0,4,39635.0,22759.0
192,Operations,South,Female,Bachelors,8.0,45,0,36.7,3,70596.0,3852.0
193,Operations,South,Male,Bachelors,7.2,34,1,39.3,2,56555.0,7704.0
194,HR,South,Male,Bachelors,8.5,35,0,45.9,3,80164.0,6577.0
195,Tech,West,Female,High School,7.7,39,1,49.5,1,106913.0,2934.0
196,Tech,North,Male,Masters,16.3,34,0,47.9,3,92239.0,8451.0
197,Finance,West,Male,Masters,3.9,30,0,38.8,3,66131.0,13717.0
198,Operations,West,Male,Bachelors,4.4,31,1,36.0,3,72564.0,5736.0
199,Operations,South,Female,Masters,4.0,32,0,41.6,3,58969.0,9379.0
200,Finance,South,Female,Masters,4.3,32,0,33.0,3,73612.0,1327.0
201,HR,West,Female,Masters,4.0,37,0,42.5,4,56689.0,3174.0
202,Sales,North,Male,Bachelors,11.3,32,0,40.3,1,56277.0,22390.0
203,Sales,East,Male,Bachelors,12.2,37,0,38.9,5,55061.0,28436.0
204,Operations,West,Male,Bachelors,4.2,31,0,33.8,4,53830.0,8422.0
205,HR,North,Male,Bachelors,3.2,33,0,43.3,4,50476.0,5748.0
206,Sales,South,Male,Masters,8.4,21,0,38.6,3,61150.0,21497.0
207,Sales,South,Male,Masters,4.3,38,0,35.7,4,51908.0,16998.0
208,HR,North,Male,Masters,9.0,34,0,30.0,2,38217.0,8418.0
209,Sales,East,Female,Bachelors,7.3,38,0,40.9,2,56007.0,24529.0
210,Sales,South,Male,High School,0.4,21,0,49.0,3,44038.0,19692.0
211,Tech,South,Male,PhD,12.7,46,0,48.5,4,85015.0,5120.0
212,HR,South,Female,Masters,13.7,31,1,38.9,1,76720.0,6564.0
213,HR,North,Male,High School,4.0,39,0,38.3,3,60669.0,4753.0
214,Sales,West,Female,Masters,4.9,25,0,43.1,5,55460.0,22235.0
215,Finance,South,Female,Masters,7.6,36,0,36.5,4,63391.0,15399.0
216,Sales,West,Female,Bachelors,7.8,25,0,42.4,3,54616.0,20512.0
217,Tech,East,Male,Bachelors,9.1,28,1,44.4,2,84260.0,4567.0
218,Finance,South,Female,Bachelors,14.5,44,0,46.5,4,65604.0,4410.0
219,HR,South,Male,High School,5.8,31,0,40.5,3,50573.0,9477.0
220,Finance,East,Male,Bachelors,3.3,33,0,40.1,2,74584.0,5275.0
221,HR,South,Male,Masters,1.0,38,0,37.0,2,55872.0,3403.0
222,Tech,West,Female,High School,3.6,35,0,37.3,5,80477.0,12785.0
223,Sales,North,Male,Bachelors,6.4,33,0,40.0,4,55481.0,27678.0
224,Tech,West,Male,Bachelors,13.7,34,0,42.7,4,92634.0,4598.0
225,Sales,North,Female,Bachelors,4.4,48,0,45.1,4,42148.0,14534.0
226,Sales,North,Male,Masters,7.4,32,0,37.4,3,54335.0,25530.0
227,Operations,West,Male,Bachelors,6.4,33,0,47.7,3,64083.0,3761.0
228,Tech,West,Male,Bachelors,11.3,39,0,39.8,3,92611.0,38652.0
229,Operations,West,Male,Masters,16.6,39,1,40.9,3,94431.0,0.0
230,HR,West,Male,Bachelors,4.4,40,0,37.6,3,58238.0,10070.0
231,Finance,East,Male,Bachelors,4.5,36,1,30.1,4,85914.0,2155.0
232,Tech,South,Female,Bachelors,10.7,25,0,45.0,3,95682.0,9423.0
233,Tech,North,Male,High School,9.2,43,0,44.3,4,80722.0,7057.0
234,Tech,West,Male,Bachelors,13.9,25,0,39.7,3,76098.0,2684.0
235,Sales,West,Female,Bachelors,8.8,34,0,41.3,3,51255.0,19872.0
236,Finance,West,Male,Bachelors,5.1,27,0,43.3,3,60671.0,9245.0
237,Sales,East,Female,Masters,8.9,32,0,34.0,3,47279.0,21924.0
238,Sales,West,Male,Bachelors,10.9,34,0,38.6,4,53924.0,24338.0
239,HR,West,Male,Bachelors,9.8,34,0,44.6,3,54213.0,14406.0
240,Sales,West,Male,Bachelors,8.5,35,0,35.4,3,49736.0,15243.0
