Customer_ID,Store_ID,Transaction_Amount,Basket_Size,Visit_Day,Customer_Age
58,S003,86.41,2,Wed,44
59,S001,69.74,2,Sun,23
60,S004,59.56,3,Tue,47
61,S004,72.45,5,Sat,64
62,S003,98.64,4,Sun,47
63,S004,84.45,3,Tue,34
64,S003,104.21,7,Wed,58
65,S004,75.98,7,Tue,53
66,S001,83.19,7,Sun,51
67,S003,64.39,4,Wed,32
68,S001,101.01,8,Tue,20
69,S001,41.09,3,Tue,39
70,S001,67.49,5,Wed,31
71,S002,81.97,5,Sat,56
72,S002,42.63,1,Fri,49
73,S003,71.16,3,Wed,41
74,S001,76.42,5,Mon,34
75,S001,123.71,8,Tue,49
76,S002,94.43,5,Mon,34
77,S004,56.34,2,Mon,46
78,S001,132.3,3,Thu,30
79,S002,39.16,5,Sat,48
80,S003,85.9,6,Fri,57
81,S003,123.99,2,Sat,41
82,S004,75.34,5,Wed,27
83,S001,47.08,1,Mon,49
84,S002,86.83,4,Mon,57
85,S002,90.82,6,Mon,35
86,S004,70.8,2,Mon,20
87,S002,96.82,9,Fri,54
88,S002,93.22,5,Wed,21
89,S004,77.11,7,Fri,64
90,S003,93.55,3,Wed,47
91,S004,92.86,3,Thu,21
92,S004,85.76,6,Sun,69
93,S003,61.19,3,Tue,68
94,S003,51.24,5,Mon,49
95,S004,65.12,3,Sun,49
96,S001,98.54,5,Wed,69
97,S003,96.17,3,Sat,56
98,S004,85.22,2,Tue,50
99,S002,85.38,5,Fri,46
100,S001,102.23,7,Sat,60
101,S002,70.72,3,Mon,41
102,S003,83.98,2,Wed,55
103,S001,104.29,5,Wed,68
104,S004,67.33,5,Thu,27
105,S001,89.55,4,Mon,47
106,S003,98.88,8,Tue,68
107,S001,79.25,4,Thu,19
108,S004,54.74,4,Sun,23
109,S004,63.69,6,Sat,63
110,S001,77.61,5,Sun,37
111,S004,80.48,4,Wed,21
112,S001,89.83,3,Wed,27
113,S001,76.23,3,Fri,50
114,S001,65.66,8,Thu,60
115,S001,125.98,4,Sat,40
116,S003,96.98,7,Thu,62
117,S004,88.81,8,Sat,67
118,S001,88.5,6,Sat,37
119,S004,65.12,5,Sat,23
120,S003,39.0,5,Sat,51
121,S004,70.91,4,Wed,23
122,S004,75.07,4,Wed,21
123,S002,74.89,2,Fri,65
124,S002,96.23,5,Mon,66
125,S002,45.75,6,Wed,48
126,S001,83.63,4,Wed,64
127,S002,62.54,4,Sun,31
128,S002,99.81,3,Fri,68
129,S002,78.41,6,Sun,25
130,S004,114.74,8,Fri,68
131,S001,77.23,3,Wed,60
132,S004,99.19,5,Sat,22
133,S002,65.85,7,Tue,56
134,S003,93.46,7,Thu,19
135,S001,101.51,10,Sat,42
136,S002,55.94,3,Mon,53
137,S003,61.44,2,Fri,58
138,S001,81.68,4,Mon,24
139,S003,59.9,7,Sat,47
140,S001,67.23,3,Sun,61
141,S002,62.47,7,Fri,56
142,S004,48.87,5,Fri,19
143,S003,74.23,9,Sat,60
144,S003,77.87,4,Sun,40
145,S002,59.22,7,Mon,24
146,S001,73.03,4,Mon,52
147,S004,45.94,4,Tue,33
148,S002,56.04,4,Sun,33
149,S002,57.61,6,Thu,21
150,S004,68.89,3,Wed,57
151,S001,62.9,9,Fri,54
152,S003,79.5,4,Fri,43
153,S003,54.23,2,Sun,21
154,S004,90.44,7,Sun,47
155,S003,65.4,9,Thu,40
156,S004,111.69,3,Thu,20
157,S004,72.82,4,Mon,64
158,S004,84.09,6,Tue,44
159,S003,76.97,2,Wed,56
160,S002,65.83,12,Fri,43
161,S003,57.86,5,Wed,21
162,S003,59.51,6,Sat,60
163,S004,89.18,5,Mon,67
164,S003,75.37,9,Thu,42
165,S004,72.92,5,Tue,67
166,S004,70.3,6,Thu,68
167,S003,69.98,8,Thu,55
168,S003,55.74,4,Wed,30
169,S004,84.87,6,Thu,58
170,S001,117.66,3,Mon,64
171,S002,94.68,3,Sat,41
172,S003,38.81,3,Sat,30
173,S004,75.85,2,Sat,32
174,S003,85.34,6,Sun,26
175,S002,74.34,4,Thu,39
176,S003,100.96,2,Mon,68
177,S002,70.96,6,Sun,41
178,S001,58.34,2,Fri,28
179,S003,109.67,2,Tue,43
180,S003,78.81,5,Thu,67
181,S004,71.44,4,Mon,36
182,S001,53.3,1,Thu,54
183,S004,94.45,3,Mon,39
184,S003,103.63,5,Thu,45
185,S004,70.1,5,Sat,45
186,S001,62.53,2,Fri,22
187,S001,67.08,8,Wed,27
188,S003,47.83,7,Mon,27
189,S001,101.45,5,Sat,45
190,S003,75.07,4,Tue,30
191,S004,75.0,6,Fri,43
192,S003,105.67,4,Tue,21
193,S003,59.54,9,Tue,50
194,S004,66.97,4,Sat,65
195,S001,72.69,7,Fri,59
196,S001,95.23,7,Sat,23
197,S001,105.26,5,Sun,23
198,S002,93.34,5,Sun,66
199,S003,89.58,4,Tue,55
200,S001,86.04,3,Thu,45
201,S002,18.94,6,Thu,36
202,S003,67.08,4,Sun,51
203,S004,60.74,3,Thu,60
204,S003,101.02,5,Sun,45
205,S003,63.94,10,Wed,31
206,S004,116.42,9,Thu,47
207,S002,67.68,6,Wed,38
208,S001,57.05,6,Thu,32
209,S001,103.9,5,Fri,20
210,S001,78.46,4,Fri,32
211,S004,80.65,5,Wed,23
212,S004,96.82,4,Sat,57
213,S001,70.97,4,Mon,32
214,S003,61.39,2,Wed,36
215,S003,91.07,10,Wed,66
216,S001,68.16,6,Mon,19
217,S001,65.55,4,Sun,53
218,S004,61.15,2,Thu,31
219,S001,74.07,2,Sat,35
220,S002,62.61,7,Wed,53
221,S003,92.39,3,Sun,56
222,S001,72.06,7,Tue,44
223,S001,81.56,2,Tue,31
224,S004,47.74,8,Tue,24
225,S002,91.16,8,Fri,31
226,S004,88.21,3,Wed,43
227,S001,90.58,6,Wed,27
228,S003,105.15,6,Fri,40
229,S002,82.59,3,Thu,48
230,S002,88.04,2,Thu,45
231,S002,82.04,6,Mon,41
232,S004,65.33,3,Tue,45
233,S001,72.29,8,Fri,67
234,S001,72.3,3,Wed,40
235,S001,95.11,5,Fri,69
236,S002,57.91,6,Mon,35
237,S002,39.1,3,Thu,40
238,S003,94.66,7,Tue,45
239,S002,91.06,5,Thu,52
240,S001,65.65,4,Thu,21
241,S001,46.72,5,Mon,21
242,S002,52.6,7,Tue,34
243,S003,92.74,1,Tue,33
244,S002,76.53,6,Sun,32
245,S002,99.46,11,Sun,50
246,S004,61.69,2,Fri,32
247,S002,68.17,7,Mon,30
248,S001,64.91,1,Thu,60
249,S001,81.55,4,Tue,56
250,S001,97.85,6,Sat,22
251,S004,89.93,6,Sun,52
252,S004,110.82,5,Wed,51
253,S002,73.55,5,Mon,60
254,S003,99.95,7,Mon,65
255,S002,76.42,5,Fri,55
256,S004,38.04,2,Fri,24
257,S002,114.32,5,Sat,50
258,S004,70.18,3,Wed,29
259,S001,71.84,8,Sun,18
260,S001,85.51,6,Tue,56
261,S004,36.77,9,Mon,60
262,S002,93.7,3,Thu,21
263,S003,91.92,5,Tue,20
264,S001,77.37,4,Sat,20
265,S003,85.06,4,Fri,47
266,S004,71.03,4,Sat,18
267,S004,90.31,4,Fri,35
268,S003,93.15,5,Sun,45
269,S004,78.95,9,Fri,37
270,S002,102.48,6,Sat,51
271,S002,55.21,3,Wed,36
272,S002,55.22,4,Sun,62
273,S004,25.46,4,Mon,50
274,S003,90.41,4,Wed,52
275,S001,73.28,9,Tue,54
276,S001,57.85,8,Fri,18
277,S002,87.78,5,Mon,58
278,S001,70.06,3,Tue,47
279,S004,79.67,7,Thu,44
280,S003,92.42,6,Mon,53
281,S004,88.48,6,Sat,55
282,S004,107.55,8,Mon,29
283,S003,90.03,2,Fri,59
284,S001,59.23,7,Thu,39
285,S003,58.84,7,Wed,47
286,S004,47.53,4,Sat,24
287,S003,66.91,3,Tue,61
288,S003,95.56,3,Tue,44
289,S002,44.62,2,Wed,58
290,S002,65.32,2,Mon,40
291,S004,87.3,7,Sun,37
292,S004,91.43,3,Wed,54
293,S001,77.53,6,Thu,26
294,S004,86.51,4,Sun,62
295,S001,117.12,6,Sun,54
296,S001,92.89,6,Wed,67
297,S003,59.26,9,Thu,49
298,S003,47.06,4,Sat,21
299,S004,81.55,6,Sun,52
300,S002,90.89,5,Thu,50
301,S002,66.68,4,Thu,29
302,S001,89.23,5,Fri,49
303,S004,74.19,9,Sat,52
304,S001,40.91,6,Tue,67
305,S003,86.68,4,Mon,50
306,S004,54.85,4,Sun,60
307,S004,89.5,4,Sun,21
308,S002,93.93,3,Wed,67
309,S004,85.13,6,Sun,51
310,S002,107.9,6,Wed,65
311,S004,85.26,5,Tue,69
312,S003,81.52,3,Thu,18
313,S001,85.33,3,Wed,27
314,S002,78.24,5,Wed,58
315,S002,113.29,5,Fri,31
316,S004,88.7,4,Mon,36
317,S004,128.43,6,Sat,30
318,S004,49.77,2,Wed,65
319,S002,76.27,9,Wed,25
320,S002,62.75,6,Mon,60
321,S002,89.13,3,Tue,26
322,S004,72.02,6,Mon,31
323,S004,81.43,5,Sun,37
324,S003,68.15,7,Wed,22
325,S003,81.91,4,Mon,41
326,S003,65.63,0,Mon,20
327,S001,80.84,3,Thu,26
328,S004,84.3,7,Tue,50
329,S004,77.5,5,Mon,61
330,S002,86.2,5,Sat,57
331,S003,88.57,2,Thu,66
332,S004,66.91,4,Wed,50
333,S002,88.38,8,Wed,22
334,S004,84.88,3,Thu,66
335,S004,99.42,5,Wed,68
336,S002,77.07,9,Fri,55
337,S002,88.95,2,Sat,26
338,S002,61.61,3,Thu,47
339,S001,49.18,3,Thu,45
340,S003,78.9,6,Tue,61
341,S003,78.88,3,Thu,59
342,S001,61.5,5,Wed,54
343,S002,35.06,7,Thu,21
344,S002,123.12,6,Sat,21
345,S001,87.4,6,Sun,54
346,S004,82.55,4,Sat,42
347,S001,106.05,5,Mon,29
348,S001,45.69,4,Sat,30
349,S004,82.29,3,Thu,52
350,S003,74.69,7,Fri,56
351,S002,98.97,7,Fri,36
352,S003,66.64,6,Mon,45
353,S002,41.1,4,Wed,41
354,S003,91.42,2,Wed,47
355,S001,39.53,8,Sat,65
356,S003,53.81,4,Sat,34
357,S001,89.57,7,Sun,28
358,S002,98.18,8,Fri,59
359,S002,80.63,1,Thu,61
360,S002,67.11,7,Sun,63
361,S001,35.29,6,Sat,40
362,S004,66.15,6,Fri,20
363,S001,56.21,2,Sat,19
364,S004,68.59,5,Fri,59
365,S001,56.55,2,Tue,53
366,S001,64.4,3,Sun,18
367,S001,108.27,5,Mon,68
368,S001,24.47,4,Tue,29
369,S002,29.62,4,Tue,66
370,S004,85.43,3,Sat,41
371,S004,67.41,5,Mon,58
372,S001,53.55,5,Sun,20
373,S004,49.02,7,Thu,66
374,S003,78.59,5,Mon,18
375,S003,80.36,9,Mon,56
376,S002,90.4,4,Mon,62
377,S002,101.39,3,Sun,35
378,S002,66.48,6,Mon,56
379,S003,76.86,6,Fri,42
380,S002,72.98,5,Mon,34
381,S002,73.94,4,Fri,61
382,S001,70.16,2,Tue,62
383,S002,50.28,5,Thu,37
384,S003,79.38,5,Fri,55
385,S002,79.95,3,Fri,65
386,S002,76.82,3,Fri,28
387,S001,93.71,6,Sat,59
388,S001,88.28,4,Tue,27
389,S002,39.02,9,Sun,30
390,S002,55.45,3,Mon,50
391,S003,95.14,2,Mon,63
392,S004,66.17,8,Sat,36
393,S004,80.26,3,Mon,33
394,S002,69.12,6,Wed,30
395,S004,99.8,4,Tue,45
396,S004,78.06,7,Sun,48
397,S004,76.84,7,Wed,48
398,S003,45.11,4,Fri,21
399,S003,42.15,3,Wed,46
400,S002,67.15,5,Wed,50
401,S003,93.76,4,Mon,56
402,S004,59.49,6,Fri,37
403,S003,103.61,4,Sat,24
404,S001,63.05,4,Mon,35
405,S004,83.31,3,Sat,23
406,S004,65.07,9,Mon,66
407,S002,84.1,5,Thu,48
408,S002,102.94,4,Sat,40
409,S002,94.21,7,Thu,49
410,S003,108.39,7,Mon,55
411,S002,60.5,4,Thu,56
412,S002,52.29,5,Fri,36
413,S002,50.34,5,Wed,20
414,S003,70.46,3,Mon,54
415,S001,49.29,9,Wed,41
416,S004,56.36,3,Thu,63
417,S002,59.79,0,Sun,65
418,S001,139.41,3,Fri,42
419,S004,79.42,9,Sat,47
420,S002,73.74,4,Sun,54
421,S002,62.4,6,Sun,32
422,S003,53.54,8,Fri,40
423,S001,75.02,5,Sun,35
424,S003,54.65,4,Wed,50
425,S004,43.51,7,Fri,23
426,S001,42.29,5,Wed,44
427,S003,109.09,9,Thu,63
428,S001,61.76,5,Tue,61
429,S003,41.8,4,Fri,49
430,S001,68.33,2,Sun,32
431,S001,88.56,3,Tue,65
432,S004,74.79,5,Thu,37
433,S004,52.35,5,Mon,52
434,S004,73.19,1,Sat,27
435,S001,63.24,5,Sat,60
436,S001,95.55,4,Tue,40
437,S004,104.24,10,Sat,40
438,S002,79.9,7,Fri,64
439,S004,37.86,3,Mon,66
440,S003,70.85,2,Sat,48
441,S004,76.85,7,Tue,47
442,S001,64.13,4,Sun,22
443,S004,64.97,4,Sun,62
444,S001,82.72,3,Fri,64
445,S004,86.78,3,Thu,50
446,S004,98.17,9,Wed,24
447,S002,60.05,4,Wed,23
448,S003,70.13,3,Tue,25
449,S002,72.38,4,Sat,30
450,S001,80.34,7,Sat,23
451,S001,85.52,4,Wed,40
452,S004,77.24,5,Sun,27
453,S001,64.33,3,Sun,42
454,S004,91.82,4,Thu,43
455,S001,95.98,5,Tue,22
456,S001,107.3,6,Sat,35
457,S002,93.64,3,Tue,19
458,S001,29.58,5,Wed,56
459,S003,60.24,6,Wed,43
460,S003,75.95,7,Wed,58
461,S003,78.71,5,Fri,54
462,S001,48.88,9,Sat,69
463,S001,60.87,8,Sun,30
464,S003,71.42,5,Fri,55
465,S001,85.08,1,Sun,52
466,S003,62.47,2,Wed,67
467,S004,74.43,5,Sun,44
468,S003,60.69,4,Wed,41
469,S004,84.76,7,Wed,64
470,S004,73.31,5,Tue,54
471,S001,110.48,6,Mon,40
472,S002,66.13,3,Wed,34
473,S002,53.36,3,Fri,45
474,S002,64.75,5,Mon,26
475,S001,66.08,8,Sat,30
476,S001,112.8,3,Tue,64
477,S004,101.75,4,Tue,27
478,S004,81.08,4,Sat,51
479,S002,72.74,4,Tue,54
480,S004,30.77,4,Mon,46
481,S001,59.68,8,Fri,61
482,S004,75.24,4,Thu,57
483,S001,63.89,3,Sat,56
484,S002,112.11,9,Sat,33
485,S003,93.36,5,Sun,47
486,S003,79.7,3,Mon,31
487,S001,92.17,3,Sat,50
488,S003,51.5,6,Sun,23
489,S002,107.48,4,Sun,64
490,S004,120.54,3,Tue,51
491,S004,71.39,5,Sat,45
492,S004,86.18,4,Wed,26
493,S002,71.01,4,Sat,52
494,S003,64.09,5,Sun,68
495,S002,86.52,6,Tue,29
496,S003,98.3,7,Wed,19
497,S004,108.74,3,Fri,50
498,S003,112.59,6,Mon,25
499,S002,51.15,5,Sat,44
500,S003,68.09,5,Thu,50
501,S004,73.15,3,Tue,50
502,S004,75.6,5,Fri,55
503,S001,30.32,8,Tue,63
504,S001,74.74,8,Sun,24
505,S003,110.62,4,Sun,59
506,S002,39.6,5,Sun,59
507,S004,71.68,7,Mon,20
508,S002,69.07,1,Mon,27
509,S003,82.97,5,Wed,51
510,S003,69.43,6,Mon,36
511,S002,59.69,2,Sun,39
512,S001,86.76,2,Sun,19
513,S003,74.46,7,Mon,23
514,S004,99.98,10,Wed,51
515,S001,86.94,2,Wed,56
516,S003,91.11,6,Tue,18
517,S001,99.5,11,Wed,66
518,S004,41.69,4,Fri,42
519,S003,89.92,5,Sat,29
520,S002,78.53,8,Sun,62
521,S003,54.41,3,Mon,44
522,S002,68.91,5,Wed,26
523,S001,58.3,3,Wed,59
524,S002,64.04,7,Thu,60
525,S002,70.45,4,Mon,50
526,S003,67.16,5,Tue,30
527,S003,110.08,7,Fri,32
528,S004,65.9,6,Fri,30
529,S001,70.95,6,Fri,51
530,S002,59.08,3,Sat,20
531,S001,90.1,5,Mon,58
532,S004,85.97,4,Fri,50
533,S001,62.92,2,Fri,23
534,S001,53.52,5,Sun,22
535,S003,70.32,7,Mon,25
536,S001,60.37,5,Thu,64
537,S004,87.06,5,Wed,24
538,S002,36.82,7,Sun,55
539,S001,65.71,4,Mon,25
540,S004,111.25,4,Fri,30
541,S003,86.45,3,Sat,67
542,S002,52.39,7,Tue,26
543,S004,70.75,4,Sat,47
544,S001,93.28,4,Sun,20
545,S002,95.58,7,Fri,35
546,S003,56.33,5,Sun,54
547,S001,94.37,3,Sat,55
548,S001,66.06,1,Wed,45
549,S001,48.69,3,Sun,61
550,S003,94.33,2,Fri,63
551,S002,72.39,6,Thu,34
552,S004,72.18,7,Sun,35
553,S001,69.44,6,Sun,26
554,S001,78.87,9,Wed,42
555,S001,80.58,3,Sun,46
556,S001,53.35,5,Wed,51
557,S002,62.66,8,Tue,42
558,S004,56.87,4,Mon,55
559,S003,107.5,6,Thu,29
560,S003,58.52,5,Sun,40
561,S002,88.15,0,Sun,44
562,S001,101.68,9,Thu,45
563,S002,60.21,3,Mon,66
564,S002,75.71,8,Thu,29
565,S002,55.84,11,Thu,25
566,S004,72.84,11,Sun,23
567,S004,64.49,4,Sun,21
568,S002,91.8,5,Sun,20
569,S002,62.59,5,Sun,37
570,S004,72.29,4,Wed,48
571,S002,112.16,2,Tue,48
572,S004,55.04,6,Sat,43
573,S004,101.41,3,Sun,55
574,S003,74.75,8,Wed,37
575,S003,86.14,2,Mon,54
576,S004,72.46,11,Wed,60
577,S002,84.76,7,Fri,62
578,S002,86.15,3,Wed,65
579,S002,65.9,9,Wed,63
580,S003,62.85,8,Wed,55
581,S001,53.65,5,Sat,35
582,S004,64.95,5,Mon,34
583,S001,65.29,4,Thu,51
584,S001,73.16,5,Thu,50
585,S002,55.75,4,Fri,43
586,S001,74.93,2,Sun,30
587,S002,73.48,7,Fri,34
588,S001,76.87,7,Thu,35
589,S004,99.56,2,Tue,21
590,S003,74.64,6,Sun,43
591,S003,65.56,0,Sun,28
592,S002,79.43,7,Fri,22
593,S001,103.94,6,Fri,26
594,S001,83.61,4,Wed,30
595,S001,96.35,3,Thu,52
596,S001,42.52,7,Tue,41
597,S001,51.25,7,Fri,50
598,S004,52.87,5,Sun,64
599,S003,98.79,4,Tue,40
600,S002,48.18,4,Thu,64
601,S001,90.02,5,Sun,60
602,S003,79.29,7,Tue,60
603,S004,81.34,0,Sat,50
604,S004,100.05,9,Thu,43
605,S004,94.29,7,Sun,35
606,S004,117.61,6,Sun,22
607,S001,59.74,2,Mon,44
608,S003,110.91,4,Fri,32
609,S002,68.03,4,Thu,58
610,S001,67.28,2,Thu,34
611,S004,80.65,5,Mon,28
612,S004,53.19,4,Sun,69
613,S004,79.96,4,Sun,19
614,S004,68.98,2,Sun,44
615,S001,83.97,3,Wed,26
616,S003,94.1,7,Mon,57
617,S002,104.14,7,Tue,32
618,S003,62.04,8,Mon,46
619,S003,67.57,4,Tue,65
620,S002,95.34,6,Mon,25
621,S004,99.02,2,Thu,54
622,S004,96.6,6,Mon,63
623,S001,67.12,4,Fri,35
624,S001,72.96,10,Wed,66
625,S003,27.54,9,Tue,28
626,S002,67.95,11,Sat,53
627,S002,53.58,10,Sun,28
628,S001,86.11,2,Fri,61
629,S004,40.82,3,Sat,38
630,S001,61.26,9,Sun,34
631,S003,76.25,7,Wed,34
632,S001,75.82,5,Sun,66
633,S004,83.74,4,Wed,39
634,S002,56.05,4,Wed,60
635,S003,101.0,7,Sun,47
636,S004,98.18,9,Wed,57
637,S003,84.98,5,Thu,18
638,S002,79.56,5,Mon,18
639,S001,62.8,3,Wed,62
640,S001,38.52,6,Tue,54
641,S002,74.12,8,Mon,27
642,S001,123.96,8,Sun,30
643,S001,93.66,5,Sun,32
644,S003,71.94,1,Wed,35
645,S001,75.86,5,Wed,18
646,S001,103.26,6,Thu,19
647,S002,97.64,6,Mon,57
648,S004,57.32,8,Wed,28
649,S002,65.72,6,Thu,55
650,S002,91.8,4,Fri,65
651,S002,72.28,4,Sat,35
652,S002,90.1,7,Wed,25
653,S004,94.9,9,Fri,35
654,S002,43.75,5,Fri,51
655,S003,68.28,6,Tue,57
656,S001,80.17,4,Fri,56
657,S003,87.05,3,Fri,32
658,S001,78.57,5,Sat,42
659,S004,89.54,5,Wed,56
660,S004,95.98,3,Fri,60
661,S002,67.76,4,Sun,28
662,S004,88.49,2,Tue,65
663,S001,65.43,3,Sat,34
664,S004,70.33,2,Sat,59
665,S003,83.14,5,Thu,53
666,S001,80.68,2,Wed,57
667,S004,90.48,9,Tue,62
668,S004,83.27,2,Fri,64
669,S004,72.36,5,Mon,68
670,S001,96.65,5,Wed,46
671,S002,58.65,4,Sat,26
672,S004,103.97,5,Tue,31
673,S004,96.71,3,Sun,60
674,S003,70.28,3,Sat,39
675,S002,41.82,3,Tue,49
676,S004,97.36,4,Wed,52
677,S004,96.42,2,Sun,34
678,S002,67.34,2,Thu,44
679,S002,71.04,4,Tue,48
680,S001,47.02,5,Wed,50
681,S001,73.72,4,Sat,58
682,S004,72.7,5,Fri,33
683,S003,67.34,4,Sat,56
684,S001,57.29,5,Tue,57
685,S001,58.41,7,Tue,29
686,S004,104.06,6,Sat,65
687,S003,41.98,7,Mon,41
688,S002,23.69,1,Sun,64
689,S003,52.5,4,Sun,45
690,S004,81.95,6,Thu,57
691,S003,94.56,7,Tue,58
692,S004,59.17,4,Tue,48
693,S004,113.96,4,Thu,33
694,S001,82.16,3,Sun,25
695,S004,77.24,7,Fri,52
696,S003,69.39,4,Fri,49
697,S003,84.22,2,Sat,21
698,S001,87.05,5,Thu,18
699,S004,64.33,5,Thu,25
700,S003,76.08,1,Mon,19
701,S002,39.67,4,Fri,67
702,S001,73.98,4,Thu,62
703,S004,114.9,5,Wed,57
704,S002,106.35,3,Wed,21
705,S003,103.71,6,Fri,18
706,S002,63.18,5,Tue,52
707,S002,50.84,5,Mon,26
708,S001,61.5,1,Sat,60
709,S002,59.63,5,Tue,39
710,S002,79.81,5,Sat,52
711,S004,57.71,11,Mon,68
712,S002,42.29,6,Sat,60
713,S004,110.76,6,Mon,43
714,S003,82.55,4,Tue,37
715,S001,106.41,9,Mon,24
716,S002,46.07,10,Sat,62
717,S002,91.85,11,Mon,68
718,S004,50.97,5,Sun,29
719,S004,68.06,4,Sun,32
720,S001,59.68,5,Wed,42
721,S002,62.31,6,Thu,47
722,S003,108.12,8,Sat,30
723,S001,62.53,2,Tue,43
724,S002,84.82,7,Sun,66
725,S003,91.9,5,Fri,49
726,S002,55.37,5,Fri,44
727,S003,46.08,3,Sat,47
728,S002,87.67,5,Sun,24
729,S004,63.88,6,Sun,48
730,S003,64.87,5,Thu,61
731,S004,77.2,10,Wed,51
732,S002,64.8,3,Fri,64
733,S003,51.1,5,Tue,34
734,S004,89.88,5,Tue,58
735,S003,76.71,3,Wed,51
736,S003,76.03,9,Wed,59
737,S003,97.97,5,Sun,21
738,S001,90.61,3,Mon,40
739,S004,85.84,7,Thu,40
740,S003,99.38,8,Sun,58
741,S003,116.54,10,Tue,46
742,S004,25.27,4,Wed,66
743,S003,66.55,9,Mon,67
744,S003,95.2,7,Sat,47
745,S001,59.95,4,Thu,55
746,S002,76.62,2,Wed,33
747,S001,86.23,3,Fri,28
748,S004,66.75,6,Wed,56
749,S003,77.65,7,Mon,44
750,S001,64.52,2,Thu,26
751,S001,67.35,7,Fri,26
752,S003,76.26,7,Wed,57
753,S004,80.17,5,Sat,37
754,S002,54.16,4,Tue,42
755,S004,65.27,8,Mon,53
756,S003,75.77,1,Thu,63
757,S003,66.62,5,Sat,66
758,S002,75.28,4,Mon,68
759,S002,55.03,6,Sun,54
760,S003,58.62,7,Thu,66
761,S004,79.44,7,Sat,35
762,S002,64.15,5,Fri,50
763,S003,44.08,3,Sat,35
764,S002,66.31,4,Sat,54
765,S004,83.51,2,Mon,61
766,S003,70.21,5,Thu,60
767,S004,42.5,5,Sat,35
768,S001,81.62,3,Sat,46
769,S002,27.76,4,Thu,38
770,S002,80.04,2,Sat,63
771,S003,70.45,3,Fri,18
772,S003,81.59,3,Sun,33
773,S001,93.98,6,Sun,68
774,S003,74.94,3,Wed,49
775,S002,82.92,4,Thu,33
776,S004,67.38,1,Fri,22
777,S003,60.57,7,Fri,58
778,S001,94.24,4,Sat,50
779,S004,55.74,5,Thu,31
780,S002,66.13,3,Mon,29
781,S003,100.96,2,Mon,34
782,S001,76.01,3,Tue,55
783,S003,101.4,5,Wed,45
784,S002,74.72,2,Thu,23
785,S003,31.83,3,Fri,53
786,S002,69.3,4,Sun,55
787,S001,96.39,7,Fri,30
788,S001,65.24,7,Fri,33
789,S002,96.15,4,Sat,51
790,S001,64.79,4,Thu,33
791,S003,63.34,7,Tue,61
792,S001,111.52,3,Fri,23
793,S004,49.85,4,Wed,44
794,S002,123.77,5,Thu,69
795,S003,49.18,4,Sat,67
796,S001,49.9,11,Thu,56
797,S003,53.58,5,Sun,64
798,S004,82.12,2,Sun,46
799,S001,120.41,8,Mon,47
800,S001,107.56,6,Tue,41
801,S002,93.54,5,Sun,42
802,S001,83.39,12,Thu,19
803,S002,88.99,3,Wed,67
804,S001,80.53,6,Thu,24
805,S003,76.2,3,Sun,50
806,S004,69.56,5,Fri,54
807,S004,74.57,4,Sun,42
808,S001,53.36,7,Sat,18
809,S003,80.8,10,Sat,34
810,S002,59.08,4,Thu,19
811,S004,63.91,5,Thu,67
812,S004,76.18,2,Sun,22
813,S001,79.15,7,Sat,27
814,S003,107.77,7,Thu,42
815,S001,94.13,8,Tue,67
816,S003,72.71,6,Sun,27
817,S001,83.17,4,Sat,58
818,S004,81.25,6,Tue,47
